group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
DynamicAccumulator: Add,,100,,,1003125.0,ns,11
DynamicAccumulator: Add,,100,,,2042916.0,ns,22
DynamicAccumulator: Add,,100,,,3081750.0,ns,33
DynamicAccumulator: Add,,100,,,4034500.0,ns,44
DynamicAccumulator: Add,,100,,,5004959.0,ns,55
DynamicAccumulator: Add,,100,,,6199375.0,ns,66
DynamicAccumulator: Add,,100,,,7159209.0,ns,77
DynamicAccumulator: Add,,100,,,8222500.0,ns,88
DynamicAccumulator: Add,,100,,,9146750.0,ns,99
DynamicAccumulator: Add,,100,,,10198708.0,ns,110
DynamicAccumulator: Add,,100,,,11192042.0,ns,121
DynamicAccumulator: Add,,100,,,12181584.0,ns,132
DynamicAccumulator: Add,,100,,,13235000.0,ns,143
DynamicAccumulator: Add,,100,,,14269000.0,ns,154
DynamicAccumulator: Add,,100,,,15145458.0,ns,165
DynamicAccumulator: Add,,100,,,16310666.0,ns,176
DynamicAccumulator: Add,,100,,,17290416.0,ns,187
DynamicAccumulator: Add,,100,,,18239000.0,ns,198
DynamicAccumulator: Add,,100,,,19273500.0,ns,209
DynamicAccumulator: Add,,100,,,20251833.0,ns,220
DynamicAccumulator: Add,,100,,,21379167.0,ns,231
DynamicAccumulator: Add,,100,,,22423667.0,ns,242
DynamicAccumulator: Add,,100,,,23370416.0,ns,253
DynamicAccumulator: Add,,100,,,24365000.0,ns,264
DynamicAccumulator: Add,,100,,,25616417.0,ns,275
DynamicAccumulator: Add,,100,,,26631750.0,ns,286
DynamicAccumulator: Add,,100,,,27418125.0,ns,297
DynamicAccumulator: Add,,100,,,28579417.0,ns,308
DynamicAccumulator: Add,,100,,,29436417.0,ns,319
DynamicAccumulator: Add,,100,,,30571542.0,ns,330
DynamicAccumulator: Add,,100,,,31323500.0,ns,341
DynamicAccumulator: Add,,100,,,32441208.0,ns,352
DynamicAccumulator: Add,,100,,,33533250.0,ns,363
DynamicAccumulator: Add,,100,,,34400500.0,ns,374
DynamicAccumulator: Add,,100,,,35595042.0,ns,385
DynamicAccumulator: Add,,100,,,36721375.0,ns,396
DynamicAccumulator: Add,,100,,,37799291.0,ns,407
DynamicAccumulator: Add,,100,,,38451125.0,ns,418
DynamicAccumulator: Add,,100,,,39862584.0,ns,429
DynamicAccumulator: Add,,100,,,40495833.0,ns,440
DynamicAccumulator: Add,,100,,,41628083.0,ns,451
DynamicAccumulator: Add,,100,,,42728750.0,ns,462
DynamicAccumulator: Add,,100,,,44945458.0,ns,473
DynamicAccumulator: Add,,100,,,44720750.0,ns,484
DynamicAccumulator: Add,,100,,,45879500.0,ns,495
DynamicAccumulator: Add,,100,,,46599625.0,ns,506
DynamicAccumulator: Add,,100,,,47853666.0,ns,517
DynamicAccumulator: Add,,100,,,48552167.0,ns,528
DynamicAccumulator: Add,,100,,,50025042.0,ns,539
DynamicAccumulator: Add,,100,,,50896667.0,ns,550
DynamicAccumulator: Add,,100,,,51573083.0,ns,561
DynamicAccumulator: Add,,100,,,52785791.0,ns,572
DynamicAccumulator: Add,,100,,,54182709.0,ns,583
DynamicAccumulator: Add,,100,,,54653792.0,ns,594
DynamicAccumulator: Add,,100,,,56094875.0,ns,605
DynamicAccumulator: Add,,100,,,56807459.0,ns,616
DynamicAccumulator: Add,,100,,,57981125.0,ns,627
DynamicAccumulator: Add,,100,,,58847250.0,ns,638
DynamicAccumulator: Add,,100,,,59912834.0,ns,649
DynamicAccumulator: Add,,100,,,60988084.0,ns,660
DynamicAccumulator: Add,,100,,,62070708.0,ns,671
DynamicAccumulator: Add,,100,,,62880334.0,ns,682
DynamicAccumulator: Add,,100,,,64113583.0,ns,693
DynamicAccumulator: Add,,100,,,66633541.0,ns,704
DynamicAccumulator: Add,,100,,,66543709.0,ns,715
DynamicAccumulator: Add,,100,,,67260709.0,ns,726
DynamicAccumulator: Add,,100,,,68124000.0,ns,737
DynamicAccumulator: Add,,100,,,69378250.0,ns,748
DynamicAccumulator: Add,,100,,,70070666.0,ns,759
DynamicAccumulator: Add,,100,,,71360667.0,ns,770
DynamicAccumulator: Add,,100,,,72044333.0,ns,781
DynamicAccumulator: Add,,100,,,73413958.0,ns,792
DynamicAccumulator: Add,,100,,,74162041.0,ns,803
DynamicAccumulator: Add,,100,,,75089167.0,ns,814
DynamicAccumulator: Add,,100,,,76305625.0,ns,825
DynamicAccumulator: Add,,100,,,77008167.0,ns,836
DynamicAccumulator: Add,,100,,,78274333.0,ns,847
DynamicAccumulator: Add,,100,,,80863208.0,ns,858
DynamicAccumulator: Add,,100,,,80591042.0,ns,869
DynamicAccumulator: Add,,100,,,93567292.0,ns,880
DynamicAccumulator: Add,,100,,,90934459.0,ns,891
DynamicAccumulator: Add,,100,,,83400291.0,ns,902
DynamicAccumulator: Add,,100,,,84076666.0,ns,913
DynamicAccumulator: Add,,100,,,85850667.0,ns,924
DynamicAccumulator: Add,,100,,,86421208.0,ns,935
DynamicAccumulator: Add,,100,,,87472209.0,ns,946
DynamicAccumulator: Add,,100,,,88529791.0,ns,957
DynamicAccumulator: Add,,100,,,89399250.0,ns,968
DynamicAccumulator: Add,,100,,,90585459.0,ns,979
DynamicAccumulator: Add,,100,,,93449333.0,ns,990
DynamicAccumulator: Add,,100,,,92480333.0,ns,1001
DynamicAccumulator: Add,,100,,,93797042.0,ns,1012
DynamicAccumulator: Add,,100,,,94531625.0,ns,1023
DynamicAccumulator: Add,,100,,,95561791.0,ns,1034
DynamicAccumulator: Add,,100,,,96643792.0,ns,1045
DynamicAccumulator: Add,,100,,,97488000.0,ns,1056
DynamicAccumulator: Add,,100,,,98690958.0,ns,1067
DynamicAccumulator: Add,,100,,,99365500.0,ns,1078
DynamicAccumulator: Add,,100,,,101289000.0,ns,1089
DynamicAccumulator: Add,,100,,,101663875.0,ns,1100
