group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
DynamicAccumulator: Add,,1000,,,1138875.0,ns,12
DynamicAccumulator: Add,,1000,,,2118042.0,ns,24
DynamicAccumulator: Add,,1000,,,3245000.0,ns,36
DynamicAccumulator: Add,,1000,,,4278709.0,ns,48
DynamicAccumulator: Add,,1000,,,5360291.0,ns,60
DynamicAccumulator: Add,,1000,,,6426042.0,ns,72
DynamicAccumulator: Add,,1000,,,7538791.0,ns,84
DynamicAccumulator: Add,,1000,,,8700459.0,ns,96
DynamicAccumulator: Add,,1000,,,9493584.0,ns,108
DynamicAccumulator: Add,,1000,,,10587875.0,ns,120
DynamicAccumulator: Add,,1000,,,11640917.0,ns,132
DynamicAccumulator: Add,,1000,,,12724583.0,ns,144
DynamicAccumulator: Add,,1000,,,13798500.0,ns,156
DynamicAccumulator: Add,,1000,,,14898208.0,ns,168
DynamicAccumulator: Add,,1000,,,15962583.0,ns,180
DynamicAccumulator: Add,,1000,,,17057917.0,ns,192
DynamicAccumulator: Add,,1000,,,19002709.0,ns,204
DynamicAccumulator: Add,,1000,,,19041416.0,ns,216
DynamicAccumulator: Add,,1000,,,20187375.0,ns,228
DynamicAccumulator: Add,,1000,,,21292708.0,ns,240
DynamicAccumulator: Add,,1000,,,22201125.0,ns,252
DynamicAccumulator: Add,,1000,,,23841125.0,ns,264
DynamicAccumulator: Add,,1000,,,24413000.0,ns,276
DynamicAccumulator: Add,,1000,,,26449042.0,ns,288
DynamicAccumulator: Add,,1000,,,26517125.0,ns,300
DynamicAccumulator: Add,,1000,,,27684208.0,ns,312
DynamicAccumulator: Add,,1000,,,28509500.0,ns,324
DynamicAccumulator: Add,,1000,,,29748958.0,ns,336
DynamicAccumulator: Add,,1000,,,30744625.0,ns,348
DynamicAccumulator: Add,,1000,,,32800875.0,ns,360
DynamicAccumulator: Add,,1000,,,32960625.0,ns,372
DynamicAccumulator: Add,,1000,,,33922917.0,ns,384
DynamicAccumulator: Add,,1000,,,34808625.0,ns,396
DynamicAccumulator: Add,,1000,,,35972333.0,ns,408
DynamicAccumulator: Add,,1000,,,36963833.0,ns,420
DynamicAccumulator: Add,,1000,,,38901750.0,ns,432
DynamicAccumulator: Add,,1000,,,39278333.0,ns,444
DynamicAccumulator: Add,,1000,,,40205000.0,ns,456
DynamicAccumulator: Add,,1000,,,41460166.0,ns,468
DynamicAccumulator: Add,,1000,,,42470875.0,ns,480
DynamicAccumulator: Add,,1000,,,43785500.0,ns,492
DynamicAccumulator: Add,,1000,,,44637209.0,ns,504
DynamicAccumulator: Add,,1000,,,45359208.0,ns,516
DynamicAccumulator: Add,,1000,,,46838083.0,ns,528
DynamicAccumulator: Add,,1000,,,48102042.0,ns,540
DynamicAccumulator: Add,,1000,,,49078000.0,ns,552
DynamicAccumulator: Add,,1000,,,49885750.0,ns,564
DynamicAccumulator: Add,,1000,,,51028000.0,ns,576
DynamicAccumulator: Add,,1000,,,52578500.0,ns,588
DynamicAccumulator: Add,,1000,,,53960500.0,ns,600
DynamicAccumulator: Add,,1000,,,53947334.0,ns,612
DynamicAccumulator: Add,,1000,,,55528541.0,ns,624
DynamicAccumulator: Add,,1000,,,56463542.0,ns,636
DynamicAccumulator: Add,,1000,,,57329417.0,ns,648
DynamicAccumulator: Add,,1000,,,58505167.0,ns,660
DynamicAccumulator: Add,,1000,,,59588000.0,ns,672
DynamicAccumulator: Add,,1000,,,61316833.0,ns,684
DynamicAccumulator: Add,,1000,,,61710792.0,ns,696
DynamicAccumulator: Add,,1000,,,62380500.0,ns,708
DynamicAccumulator: Add,,1000,,,63979625.0,ns,720
DynamicAccumulator: Add,,1000,,,65190625.0,ns,732
DynamicAccumulator: Add,,1000,,,65984917.0,ns,744
DynamicAccumulator: Add,,1000,,,67827917.0,ns,756
DynamicAccumulator: Add,,1000,,,67492541.0,ns,768
DynamicAccumulator: Add,,1000,,,68719542.0,ns,780
DynamicAccumulator: Add,,1000,,,69739709.0,ns,792
DynamicAccumulator: Add,,1000,,,71530167.0,ns,804
DynamicAccumulator: Add,,1000,,,72236750.0,ns,816
DynamicAccumulator: Add,,1000,,,73099708.0,ns,828
DynamicAccumulator: Add,,1000,,,74329166.0,ns,840
DynamicAccumulator: Add,,1000,,,75762042.0,ns,852
DynamicAccumulator: Add,,1000,,,76455250.0,ns,864
DynamicAccumulator: Add,,1000,,,77412333.0,ns,876
DynamicAccumulator: Add,,1000,,,78426417.0,ns,888
DynamicAccumulator: Add,,1000,,,117363875.0,ns,900
DynamicAccumulator: Add,,1000,,,80545625.0,ns,912
DynamicAccumulator: Add,,1000,,,81316417.0,ns,924
DynamicAccumulator: Add,,1000,,,83045041.0,ns,936
DynamicAccumulator: Add,,1000,,,84078750.0,ns,948
DynamicAccumulator: Add,,1000,,,85046750.0,ns,960
DynamicAccumulator: Add,,1000,,,86018459.0,ns,972
DynamicAccumulator: Add,,1000,,,86927166.0,ns,984
DynamicAccumulator: Add,,1000,,,88506625.0,ns,996
DynamicAccumulator: Add,,1000,,,90139042.0,ns,1008
DynamicAccumulator: Add,,1000,,,90496083.0,ns,1020
DynamicAccumulator: Add,,1000,,,91536458.0,ns,1032
DynamicAccumulator: Add,,1000,,,92300750.0,ns,1044
DynamicAccumulator: Add,,1000,,,138403459.0,ns,1056
DynamicAccumulator: Add,,1000,,,94586334.0,ns,1068
DynamicAccumulator: Add,,1000,,,95555208.0,ns,1080
DynamicAccumulator: Add,,1000,,,96268708.0,ns,1092
DynamicAccumulator: Add,,1000,,,97663708.0,ns,1104
DynamicAccumulator: Add,,1000,,,99378250.0,ns,1116
DynamicAccumulator: Add,,1000,,,103404042.0,ns,1128
DynamicAccumulator: Add,,1000,,,100672625.0,ns,1140
DynamicAccumulator: Add,,1000,,,102007666.0,ns,1152
DynamicAccumulator: Add,,1000,,,103413000.0,ns,1164
DynamicAccumulator: Add,,1000,,,105215250.0,ns,1176
DynamicAccumulator: Add,,1000,,,105125583.0,ns,1188
DynamicAccumulator: Add,,1000,,,106184166.0,ns,1200
