group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
DynamicAccumulator: Delete,,10,,,1078458.0,ns,9
DynamicAccumulator: Delete,,10,,,2067041.0,ns,18
DynamicAccumulator: Delete,,10,,,3179083.0,ns,27
DynamicAccumulator: Delete,,10,,,4272000.0,ns,36
DynamicAccumulator: Delete,,10,,,5489833.0,ns,45
DynamicAccumulator: Delete,,10,,,6324083.0,ns,54
DynamicAccumulator: Delete,,10,,,7354750.0,ns,63
DynamicAccumulator: Delete,,10,,,8405542.0,ns,72
DynamicAccumulator: Delete,,10,,,9718709.0,ns,81
DynamicAccumulator: Delete,,10,,,10604417.0,ns,90
DynamicAccumulator: Delete,,10,,,11594041.0,ns,99
DynamicAccumulator: Delete,,10,,,12755250.0,ns,108
DynamicAccumulator: Delete,,10,,,13836834.0,ns,117
DynamicAccumulator: Delete,,10,,,14855041.0,ns,126
DynamicAccumulator: Delete,,10,,,15827958.0,ns,135
DynamicAccumulator: Delete,,10,,,16978500.0,ns,144
DynamicAccumulator: Delete,,10,,,17916083.0,ns,153
DynamicAccumulator: Delete,,10,,,18881750.0,ns,162
DynamicAccumulator: Delete,,10,,,20233541.0,ns,171
DynamicAccumulator: Delete,,10,,,21281042.0,ns,180
DynamicAccumulator: Delete,,10,,,22175709.0,ns,189
DynamicAccumulator: Delete,,10,,,23093208.0,ns,198
DynamicAccumulator: Delete,,10,,,24388708.0,ns,207
DynamicAccumulator: Delete,,10,,,25512458.0,ns,216
DynamicAccumulator: Delete,,10,,,26349542.0,ns,225
DynamicAccumulator: Delete,,10,,,27557583.0,ns,234
DynamicAccumulator: Delete,,10,,,28532875.0,ns,243
DynamicAccumulator: Delete,,10,,,29804833.0,ns,252
DynamicAccumulator: Delete,,10,,,30472333.0,ns,261
DynamicAccumulator: Delete,,10,,,31718417.0,ns,270
DynamicAccumulator: Delete,,10,,,32763375.0,ns,279
DynamicAccumulator: Delete,,10,,,33710459.0,ns,288
DynamicAccumulator: Delete,,10,,,34821209.0,ns,297
DynamicAccumulator: Delete,,10,,,35800833.0,ns,306
DynamicAccumulator: Delete,,10,,,37045208.0,ns,315
DynamicAccumulator: Delete,,10,,,41346250.0,ns,324
DynamicAccumulator: Delete,,10,,,45210500.0,ns,333
DynamicAccumulator: Delete,,10,,,45336250.0,ns,342
DynamicAccumulator: Delete,,10,,,47153167.0,ns,351
DynamicAccumulator: Delete,,10,,,48115250.0,ns,360
DynamicAccumulator: Delete,,10,,,51082834.0,ns,369
DynamicAccumulator: Delete,,10,,,48697291.0,ns,378
