group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
DynamicAccumulator: Delete,,1000,,,1092792.0,ns,9
DynamicAccumulator: Delete,,1000,,,2274875.0,ns,18
DynamicAccumulator: Delete,,1000,,,3308375.0,ns,27
DynamicAccumulator: Delete,,1000,,,4389208.0,ns,36
DynamicAccumulator: Delete,,1000,,,5432208.0,ns,45
DynamicAccumulator: Delete,,1000,,,6529250.0,ns,54
DynamicAccumulator: Delete,,1000,,,7718167.0,ns,63
DynamicAccumulator: Delete,,1000,,,8796791.0,ns,72
DynamicAccumulator: Delete,,1000,,,9778833.0,ns,81
DynamicAccumulator: Delete,,1000,,,10957583.0,ns,90
DynamicAccumulator: Delete,,1000,,,12120666.0,ns,99
DynamicAccumulator: Delete,,1000,,,13233209.0,ns,108
DynamicAccumulator: Delete,,1000,,,14198958.0,ns,117
DynamicAccumulator: Delete,,1000,,,15209791.0,ns,126
DynamicAccumulator: Delete,,1000,,,16658834.0,ns,135
DynamicAccumulator: Delete,,1000,,,17387625.0,ns,144
DynamicAccumulator: Delete,,1000,,,18355500.0,ns,153
DynamicAccumulator: Delete,,1000,,,19726584.0,ns,162
DynamicAccumulator: Delete,,1000,,,24713167.0,ns,171
DynamicAccumulator: Delete,,1000,,,22774292.0,ns,180
DynamicAccumulator: Delete,,1000,,,23691375.0,ns,189
DynamicAccumulator: Delete,,1000,,,24473542.0,ns,198
DynamicAccumulator: Delete,,1000,,,25172500.0,ns,207
DynamicAccumulator: Delete,,1000,,,26064458.0,ns,216
DynamicAccumulator: Delete,,1000,,,27123750.0,ns,225
DynamicAccumulator: Delete,,1000,,,28288125.0,ns,234
DynamicAccumulator: Delete,,1000,,,29323000.0,ns,243
DynamicAccumulator: Delete,,1000,,,30317500.0,ns,252
DynamicAccumulator: Delete,,1000,,,31584792.0,ns,261
DynamicAccumulator: Delete,,1000,,,32362833.0,ns,270
DynamicAccumulator: Delete,,1000,,,33421292.0,ns,279
DynamicAccumulator: Delete,,1000,,,34607417.0,ns,288
DynamicAccumulator: Delete,,1000,,,35850458.0,ns,297
DynamicAccumulator: Delete,,1000,,,37155375.0,ns,306
DynamicAccumulator: Delete,,1000,,,38578250.0,ns,315
DynamicAccumulator: Delete,,1000,,,39031416.0,ns,324
DynamicAccumulator: Delete,,1000,,,40058417.0,ns,333
DynamicAccumulator: Delete,,1000,,,41577250.0,ns,342
