group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
DynamicAccumulator: Prove Membership,,100,,,1082416.0,ns,9
DynamicAccumulator: Prove Membership,,100,,,2174125.0,ns,18
DynamicAccumulator: Prove Membership,,100,,,3321750.0,ns,27
DynamicAccumulator: Prove Membership,,100,,,4461833.0,ns,36
DynamicAccumulator: Prove Membership,,100,,,5441875.0,ns,45
DynamicAccumulator: Prove Membership,,100,,,6561208.0,ns,54
DynamicAccumulator: Prove Membership,,100,,,7708000.0,ns,63
DynamicAccumulator: Prove Membership,,100,,,8756958.0,ns,72
DynamicAccumulator: Prove Membership,,100,,,9831125.0,ns,81
DynamicAccumulator: Prove Membership,,100,,,10870042.0,ns,90
DynamicAccumulator: Prove Membership,,100,,,12140709.0,ns,99
DynamicAccumulator: Prove Membership,,100,,,13115416.0,ns,108
DynamicAccumulator: Prove Membership,,100,,,14161583.0,ns,117
DynamicAccumulator: Prove Membership,,100,,,15214584.0,ns,126
DynamicAccumulator: Prove Membership,,100,,,16395083.0,ns,135
DynamicAccumulator: Prove Membership,,100,,,17493833.0,ns,144
DynamicAccumulator: Prove Membership,,100,,,18644375.0,ns,153
DynamicAccumulator: Prove Membership,,100,,,19823708.0,ns,162
DynamicAccumulator: Prove Membership,,100,,,20872542.0,ns,171
DynamicAccumulator: Prove Membership,,100,,,21954917.0,ns,180
DynamicAccumulator: Prove Membership,,100,,,22918958.0,ns,189
DynamicAccumulator: Prove Membership,,100,,,24181375.0,ns,198
DynamicAccumulator: Prove Membership,,100,,,25281583.0,ns,207
DynamicAccumulator: Prove Membership,,100,,,26139375.0,ns,216
DynamicAccumulator: Prove Membership,,100,,,27250167.0,ns,225
DynamicAccumulator: Prove Membership,,100,,,28618542.0,ns,234
DynamicAccumulator: Prove Membership,,100,,,29590375.0,ns,243
DynamicAccumulator: Prove Membership,,100,,,30667417.0,ns,252
DynamicAccumulator: Prove Membership,,100,,,31863417.0,ns,261
DynamicAccumulator: Prove Membership,,100,,,32692084.0,ns,270
DynamicAccumulator: Prove Membership,,100,,,33955791.0,ns,279
DynamicAccumulator: Prove Membership,,100,,,35085333.0,ns,288
DynamicAccumulator: Prove Membership,,100,,,36018250.0,ns,297
DynamicAccumulator: Prove Membership,,100,,,37163667.0,ns,306
DynamicAccumulator: Prove Membership,,100,,,38135584.0,ns,315
DynamicAccumulator: Prove Membership,,100,,,39583750.0,ns,324
DynamicAccumulator: Prove Membership,,100,,,40589834.0,ns,333
DynamicAccumulator: Prove Membership,,100,,,43064750.0,ns,342
DynamicAccumulator: Prove Membership,,100,,,42662209.0,ns,351
DynamicAccumulator: Prove Membership,,100,,,43970000.0,ns,360
DynamicAccumulator: Prove Membership,,100,,,45207583.0,ns,369
DynamicAccumulator: Prove Membership,,100,,,45826250.0,ns,378
DynamicAccumulator: Prove Membership,,100,,,46812667.0,ns,387
DynamicAccumulator: Prove Membership,,100,,,47994958.0,ns,396
DynamicAccumulator: Prove Membership,,100,,,49395333.0,ns,405
DynamicAccumulator: Prove Membership,,100,,,50207458.0,ns,414
DynamicAccumulator: Prove Membership,,100,,,51608750.0,ns,423
DynamicAccumulator: Prove Membership,,100,,,52894583.0,ns,432
DynamicAccumulator: Prove Membership,,100,,,53576583.0,ns,441
DynamicAccumulator: Prove Membership,,100,,,54855334.0,ns,450
DynamicAccumulator: Prove Membership,,100,,,55901084.0,ns,459
DynamicAccumulator: Prove Membership,,100,,,57084708.0,ns,468
DynamicAccumulator: Prove Membership,,100,,,57893250.0,ns,477
DynamicAccumulator: Prove Membership,,100,,,59185583.0,ns,486
DynamicAccumulator: Prove Membership,,100,,,60166583.0,ns,495
DynamicAccumulator: Prove Membership,,100,,,61331375.0,ns,504
DynamicAccumulator: Prove Membership,,100,,,62383375.0,ns,513
DynamicAccumulator: Prove Membership,,100,,,63527041.0,ns,522
DynamicAccumulator: Prove Membership,,100,,,64391292.0,ns,531
DynamicAccumulator: Prove Membership,,100,,,65489458.0,ns,540
DynamicAccumulator: Prove Membership,,100,,,66874750.0,ns,549
DynamicAccumulator: Prove Membership,,100,,,67837041.0,ns,558
DynamicAccumulator: Prove Membership,,100,,,68927375.0,ns,567
DynamicAccumulator: Prove Membership,,100,,,70035667.0,ns,576
DynamicAccumulator: Prove Membership,,100,,,70979250.0,ns,585
DynamicAccumulator: Prove Membership,,100,,,72067208.0,ns,594
DynamicAccumulator: Prove Membership,,100,,,73402542.0,ns,603
DynamicAccumulator: Prove Membership,,100,,,74385167.0,ns,612
DynamicAccumulator: Prove Membership,,100,,,75910375.0,ns,621
DynamicAccumulator: Prove Membership,,100,,,76653458.0,ns,630
DynamicAccumulator: Prove Membership,,100,,,77734042.0,ns,639
DynamicAccumulator: Prove Membership,,100,,,78850667.0,ns,648
DynamicAccumulator: Prove Membership,,100,,,79879042.0,ns,657
DynamicAccumulator: Prove Membership,,100,,,80973791.0,ns,666
DynamicAccumulator: Prove Membership,,100,,,81991000.0,ns,675
DynamicAccumulator: Prove Membership,,100,,,83171750.0,ns,684
DynamicAccumulator: Prove Membership,,100,,,85880000.0,ns,693
DynamicAccumulator: Prove Membership,,100,,,86119084.0,ns,702
DynamicAccumulator: Prove Membership,,100,,,86437333.0,ns,711
DynamicAccumulator: Prove Membership,,100,,,87430750.0,ns,720
DynamicAccumulator: Prove Membership,,100,,,88742917.0,ns,729
DynamicAccumulator: Prove Membership,,100,,,89618500.0,ns,738
DynamicAccumulator: Prove Membership,,100,,,90750458.0,ns,747
DynamicAccumulator: Prove Membership,,100,,,91593417.0,ns,756
DynamicAccumulator: Prove Membership,,100,,,93117542.0,ns,765
DynamicAccumulator: Prove Membership,,100,,,94159291.0,ns,774
DynamicAccumulator: Prove Membership,,100,,,95270791.0,ns,783
DynamicAccumulator: Prove Membership,,100,,,96236666.0,ns,792
DynamicAccumulator: Prove Membership,,100,,,97351541.0,ns,801
DynamicAccumulator: Prove Membership,,100,,,98603167.0,ns,810
DynamicAccumulator: Prove Membership,,100,,,99627708.0,ns,819
DynamicAccumulator: Prove Membership,,100,,,100639458.0,ns,828
DynamicAccumulator: Prove Membership,,100,,,101535000.0,ns,837
DynamicAccumulator: Prove Membership,,100,,,102892417.0,ns,846
DynamicAccumulator: Prove Membership,,100,,,103637875.0,ns,855
DynamicAccumulator: Prove Membership,,100,,,105284375.0,ns,864
DynamicAccumulator: Prove Membership,,100,,,105872833.0,ns,873
DynamicAccumulator: Prove Membership,,100,,,107259083.0,ns,882
DynamicAccumulator: Prove Membership,,100,,,108445083.0,ns,891
DynamicAccumulator: Prove Membership,,100,,,109547792.0,ns,900
