group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
DynamicAccumulator: Prove Membership,,5000,,,1119750.0,ns,9
DynamicAccumulator: Prove Membership,,5000,,,2162334.0,ns,18
DynamicAccumulator: Prove Membership,,5000,,,3208333.0,ns,27
DynamicAccumulator: Prove Membership,,5000,,,4310041.0,ns,36
DynamicAccumulator: Prove Membership,,5000,,,5430875.0,ns,45
DynamicAccumulator: Prove Membership,,5000,,,6543667.0,ns,54
DynamicAccumulator: Prove Membership,,5000,,,7611542.0,ns,63
DynamicAccumulator: Prove Membership,,5000,,,8745209.0,ns,72
DynamicAccumulator: Prove Membership,,5000,,,9716334.0,ns,81
DynamicAccumulator: Prove Membership,,5000,,,10782750.0,ns,90
DynamicAccumulator: Prove Membership,,5000,,,11737917.0,ns,99
DynamicAccumulator: Prove Membership,,5000,,,12838708.0,ns,108
DynamicAccumulator: Prove Membership,,5000,,,14080333.0,ns,117
DynamicAccumulator: Prove Membership,,5000,,,14942666.0,ns,126
DynamicAccumulator: Prove Membership,,5000,,,16006000.0,ns,135
DynamicAccumulator: Prove Membership,,5000,,,17190417.0,ns,144
DynamicAccumulator: Prove Membership,,5000,,,18472708.0,ns,153
DynamicAccumulator: Prove Membership,,5000,,,19279667.0,ns,162
DynamicAccumulator: Prove Membership,,5000,,,20541167.0,ns,171
DynamicAccumulator: Prove Membership,,5000,,,21512250.0,ns,180
DynamicAccumulator: Prove Membership,,5000,,,22707000.0,ns,189
DynamicAccumulator: Prove Membership,,5000,,,23787042.0,ns,198
DynamicAccumulator: Prove Membership,,5000,,,24901750.0,ns,207
DynamicAccumulator: Prove Membership,,5000,,,25924375.0,ns,216
DynamicAccumulator: Prove Membership,,5000,,,27185041.0,ns,225
DynamicAccumulator: Prove Membership,,5000,,,27989042.0,ns,234
DynamicAccumulator: Prove Membership,,5000,,,29078500.0,ns,243
DynamicAccumulator: Prove Membership,,5000,,,30123375.0,ns,252
DynamicAccumulator: Prove Membership,,5000,,,31370000.0,ns,261
DynamicAccumulator: Prove Membership,,5000,,,32163708.0,ns,270
DynamicAccumulator: Prove Membership,,5000,,,33443667.0,ns,279
DynamicAccumulator: Prove Membership,,5000,,,34465291.0,ns,288
DynamicAccumulator: Prove Membership,,5000,,,35500208.0,ns,297
DynamicAccumulator: Prove Membership,,5000,,,36398042.0,ns,306
DynamicAccumulator: Prove Membership,,5000,,,37383667.0,ns,315
DynamicAccumulator: Prove Membership,,5000,,,38593167.0,ns,324
DynamicAccumulator: Prove Membership,,5000,,,39867292.0,ns,333
DynamicAccumulator: Prove Membership,,5000,,,41038583.0,ns,342
DynamicAccumulator: Prove Membership,,5000,,,41781583.0,ns,351
DynamicAccumulator: Prove Membership,,5000,,,42716041.0,ns,360
DynamicAccumulator: Prove Membership,,5000,,,44246625.0,ns,369
DynamicAccumulator: Prove Membership,,5000,,,45054500.0,ns,378
DynamicAccumulator: Prove Membership,,5000,,,46235333.0,ns,387
DynamicAccumulator: Prove Membership,,5000,,,47293875.0,ns,396
DynamicAccumulator: Prove Membership,,5000,,,48328541.0,ns,405
DynamicAccumulator: Prove Membership,,5000,,,49666667.0,ns,414
DynamicAccumulator: Prove Membership,,5000,,,50502625.0,ns,423
DynamicAccumulator: Prove Membership,,5000,,,51443792.0,ns,432
DynamicAccumulator: Prove Membership,,5000,,,52744333.0,ns,441
DynamicAccumulator: Prove Membership,,5000,,,53634083.0,ns,450
DynamicAccumulator: Prove Membership,,5000,,,54816000.0,ns,459
DynamicAccumulator: Prove Membership,,5000,,,56025250.0,ns,468
DynamicAccumulator: Prove Membership,,5000,,,56901458.0,ns,477
DynamicAccumulator: Prove Membership,,5000,,,57895416.0,ns,486
DynamicAccumulator: Prove Membership,,5000,,,58852416.0,ns,495
DynamicAccumulator: Prove Membership,,5000,,,60359875.0,ns,504
DynamicAccumulator: Prove Membership,,5000,,,61463333.0,ns,513
DynamicAccumulator: Prove Membership,,5000,,,62391708.0,ns,522
DynamicAccumulator: Prove Membership,,5000,,,63039458.0,ns,531
DynamicAccumulator: Prove Membership,,5000,,,64555125.0,ns,540
DynamicAccumulator: Prove Membership,,5000,,,65528542.0,ns,549
DynamicAccumulator: Prove Membership,,5000,,,66409000.0,ns,558
DynamicAccumulator: Prove Membership,,5000,,,67646625.0,ns,567
DynamicAccumulator: Prove Membership,,5000,,,68791958.0,ns,576
DynamicAccumulator: Prove Membership,,5000,,,69781792.0,ns,585
DynamicAccumulator: Prove Membership,,5000,,,70518792.0,ns,594
DynamicAccumulator: Prove Membership,,5000,,,72129375.0,ns,603
DynamicAccumulator: Prove Membership,,5000,,,72692291.0,ns,612
DynamicAccumulator: Prove Membership,,5000,,,73929833.0,ns,621
DynamicAccumulator: Prove Membership,,5000,,,75376291.0,ns,630
DynamicAccumulator: Prove Membership,,5000,,,76569958.0,ns,639
DynamicAccumulator: Prove Membership,,5000,,,77168291.0,ns,648
DynamicAccumulator: Prove Membership,,5000,,,78528208.0,ns,657
DynamicAccumulator: Prove Membership,,5000,,,79528000.0,ns,666
DynamicAccumulator: Prove Membership,,5000,,,80347583.0,ns,675
DynamicAccumulator: Prove Membership,,5000,,,82029917.0,ns,684
DynamicAccumulator: Prove Membership,,5000,,,82537250.0,ns,693
DynamicAccumulator: Prove Membership,,5000,,,83812500.0,ns,702
DynamicAccumulator: Prove Membership,,5000,,,84850208.0,ns,711
DynamicAccumulator: Prove Membership,,5000,,,85740958.0,ns,720
DynamicAccumulator: Prove Membership,,5000,,,86930750.0,ns,729
DynamicAccumulator: Prove Membership,,5000,,,87917125.0,ns,738
DynamicAccumulator: Prove Membership,,5000,,,89145958.0,ns,747
DynamicAccumulator: Prove Membership,,5000,,,90823000.0,ns,756
DynamicAccumulator: Prove Membership,,5000,,,91681834.0,ns,765
DynamicAccumulator: Prove Membership,,5000,,,92458542.0,ns,774
DynamicAccumulator: Prove Membership,,5000,,,93334167.0,ns,783
DynamicAccumulator: Prove Membership,,5000,,,94152833.0,ns,792
DynamicAccumulator: Prove Membership,,5000,,,95583500.0,ns,801
DynamicAccumulator: Prove Membership,,5000,,,96404083.0,ns,810
DynamicAccumulator: Prove Membership,,5000,,,97459958.0,ns,819
DynamicAccumulator: Prove Membership,,5000,,,98950875.0,ns,828
DynamicAccumulator: Prove Membership,,5000,,,99323750.0,ns,837
DynamicAccumulator: Prove Membership,,5000,,,100795125.0,ns,846
DynamicAccumulator: Prove Membership,,5000,,,101816042.0,ns,855
DynamicAccumulator: Prove Membership,,5000,,,102960375.0,ns,864
DynamicAccumulator: Prove Membership,,5000,,,103741417.0,ns,873
DynamicAccumulator: Prove Membership,,5000,,,104944083.0,ns,882
DynamicAccumulator: Prove Membership,,5000,,,106206125.0,ns,891
DynamicAccumulator: Prove Membership,,5000,,,107530167.0,ns,900
