group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
DynamicAccumulator: Prove Non-Membership,,100,,,57913125.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,59169625.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,58617667.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,48093875.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,55622917.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,55477000.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,60798542.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,58678125.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,58471209.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,58948708.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,58456625.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,58300333.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,56579000.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,57692959.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,58088791.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,58992833.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,58368833.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,57491042.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,57229625.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,57391625.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,58458458.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,58715917.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,57095125.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,57889000.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,57632083.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,53790291.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,50430208.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,54929208.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,58343000.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,56802542.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,56268125.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,57711834.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,58431000.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,57955458.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,57662750.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,57373750.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,57768208.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,57251500.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,57263292.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,57660750.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,57755708.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,58124792.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,57192541.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,58666625.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,56782458.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,57910000.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,57717459.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,59391459.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,58283958.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,58166625.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,57524333.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,57680250.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,58345250.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,57582750.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,57929375.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,58147500.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,59339125.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,57566625.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,57264625.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,58901375.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,57998167.0,ns,2
