group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
DynamicAccumulator: Prove Non-Membership,,200,,,94601083.0,ns,1
DynamicAccumulator: Prove Non-Membership,,200,,,95918584.0,ns,1
DynamicAccumulator: Prove Non-Membership,,200,,,93607458.0,ns,1
DynamicAccumulator: Prove Non-Membership,,200,,,93471792.0,ns,1
DynamicAccumulator: Prove Non-Membership,,200,,,94079125.0,ns,1
DynamicAccumulator: Prove Non-Membership,,200,,,92944917.0,ns,1
DynamicAccumulator: Prove Non-Membership,,200,,,93011958.0,ns,1
DynamicAccumulator: Prove Non-Membership,,200,,,92984625.0,ns,1
DynamicAccumulator: Prove Non-Membership,,200,,,93471875.0,ns,1
DynamicAccumulator: Prove Non-Membership,,200,,,93522458.0,ns,1
DynamicAccumulator: Prove Non-Membership,,200,,,91877250.0,ns,1
DynamicAccumulator: Prove Non-Membership,,200,,,92703209.0,ns,1
DynamicAccumulator: Prove Non-Membership,,200,,,92715750.0,ns,1
DynamicAccumulator: Prove Non-Membership,,200,,,90911208.0,ns,1
DynamicAccumulator: Prove Non-Membership,,200,,,93884084.0,ns,1
DynamicAccumulator: Prove Non-Membership,,200,,,92993875.0,ns,1
DynamicAccumulator: Prove Non-Membership,,200,,,94361041.0,ns,1
DynamicAccumulator: Prove Non-Membership,,200,,,94840583.0,ns,1
DynamicAccumulator: Prove Non-Membership,,200,,,94149167.0,ns,1
DynamicAccumulator: Prove Non-Membership,,200,,,93522625.0,ns,1
DynamicAccumulator: Prove Non-Membership,,200,,,94055958.0,ns,1
DynamicAccumulator: Prove Non-Membership,,200,,,93241250.0,ns,1
DynamicAccumulator: Prove Non-Membership,,200,,,93625333.0,ns,1
DynamicAccumulator: Prove Non-Membership,,200,,,93377667.0,ns,1
DynamicAccumulator: Prove Non-Membership,,200,,,94659833.0,ns,1
DynamicAccumulator: Prove Non-Membership,,200,,,93380583.0,ns,1
DynamicAccumulator: Prove Non-Membership,,200,,,94912750.0,ns,1
DynamicAccumulator: Prove Non-Membership,,200,,,96631500.0,ns,1
